text,sarcastic
东野圭吾！你的白夜行可以再灰色一点没关系...,1
机不可失，失不再来，符合条件的朋友们，冲鸭！,0
我妈最常说的一句话：你脾气那么坏，谁敢娶你...(很好 ),1
近日，几十位资深专家经过连续多日反复论证研究得出观点：那些把共享单车又是投河又是破坏的人情有可原。专家们甚至鼓励单车公司多推出一些单车专门让这些人投河，就权当是公益行为了，“因为这帮人知道自己平时谁也欺负不了，也就能欺负欺负小黄车了。” ​​​,1
3个实用动作缓解肩颈痛。大多数人认为肩颈痛是由颈椎病和肩周炎引起的，其实高低肩也会造成肩颈痛。3个动作助你缓解肩颈疼痛，无需器材，随时随地都能练学起来。央视频,0
火大：你的声音真的可以再大声一点，可以再故意用力一点。 真的是会被你的声音活活给吓死~,1
健康饮食和常规锻炼不可忽视！!!!∑(ﾟДﾟノ)ノ,0
昨日因吸毒被抓的几位迷笛音乐学校的学生面对媒体时吐露，他们是因为偶像尹相杰才走上音乐的道路，但偶像近来一而再地吸毒，他们心疼，于是就决定自己也入吸毒的坑，然后再努力走出来，之后再制定戒毒攻略分享给尹相杰。他们说知道吸毒不对，但实在是太想救爱豆了,1
练唱搞乌龙，据说身高约4米高的熊大脑才一丁点儿；那身高不到两米的熊大脑是不是可以省略? 连曲目都搞错，很好很强大... 纯抱怨噗！ 补一个  帮我骂凹眼熊,1
茶农采茶美如画江苏溧阳云雾茶园美如画。江苏省溧阳市地产天目湖白茶全面进入采摘期，各大茶园一片繁忙的景象。漫山茶树在云雾中重重叠叠，错落有致，犹如一幅壮美画卷。戳视频看茶农们在“画”中采茶。  报社的微博视频,0
很有用！！！很有用！！！,0
HSBCOnline可以再把利息降低一点啊...,1
我一定要考上想要的成绩 想去的学校 想去的城市！！！,0
他们用微光点亮生命尽头。在江西贵溪有这样一个群体——爱在始终养老介护志愿者协会。从2013年开始，会长彭瑛和志愿者走进临终者身边，从衣食起居到心理疏导，从后事操办到家属关怀，他们温暖着临终者生命最后一程。戳视频一起看一看他们的故事吧。（记者袁慧晶、胡晨欢、姚子云）  报社的微博视频,0
上海：医疗机构不得以等待核酸检测结果为由推诿拒绝、延误治疗。在4月15日举行的上海市新冠肺炎疫情防控新闻发布会上，上海市卫健委表示，如果急诊患者需要立即进行紧急处置，医疗机构应启动应急预案，将患者转移至专门的隔离缓冲区域，区域内配备有抢救治疗的设备设施药品，需要急诊手术的就在专用手术室立即开展手术救治。整个过程中，不得以等待核酸检测结果为由推诿拒绝、延误治疗。（记者袁全、胡洁菲）,0
正在直播：天宫课堂第二讲开讲了。今天下午，“天宫课堂”第二课在中国空间站开讲，神舟十三号乘组航天员翟志刚、王亚平、叶光富将相互配合进行授课。@ 正在直播一起学习。太空网课上新 的微博直播,0
梦幻。油菜花海宛如仙境。近日，江苏兴化，晨雾萦绕、朝霞漫天，河港纵横之间，一块块油菜花田宛若漂浮在水面的岛屿，金黄色的油菜花在晨雾中若隐若现，与绚丽的朝霞交相辉映，宛若仙境。戳视频，一起感受。荔枝风景线,0
昨天四点睡 + 今天早上七点半被小朋友吵醒， 很好， 老娘只睡三个半小时而已耶！！,1
很好。我又被冻醒了。大家早啊 (:,1
近年来，平安夜的氛围越来越淡，不管年轻人还是中老年朋友，都对平安夜越来越没兴趣。究其原因，是因为平安夜的名字不行，如果忙活一个晚上，就只送个平安，没啥其他物质方面的收获，实在意义不大，除非把平安夜名字改成发财夜，否则这节很难在我们这片大地上火起来。,1
应急管理部发布强对流天气蓝色预警响应提示。应急管理部6日11时发布强对流天气蓝色预警响应提示。4月6日8时至7日8时，山东南部和东部、河南东部、安徽东北部、江苏北部等地的部分地区将有8至10级雷暴大风或冰雹天气，局地最大风力可达11级；山东南部、安徽东北部、江苏北部等地的部分地区将有短时强降水天气，小时雨量20至30毫米。经综合会商研判，山东、河南、安徽、江苏等地雷暴大风、冰雹和短时强降水等强对流天气可能引发局地风雹及次生灾害风险。（记者刘夏村）,0
对面那间公司初二十六就在大楼里面设坛烧香...可以再没公德心一点呀～,1
人生如戏，戏如人生。直播带猴，，，亮，凉了,0
主人帮狗捡便便曾一度被认为是环保文明的行为，然而现在新的环保观念认为，狗狗拉在草坪，就有保护植物的作用，因为草坪上有了狗屎，没素质的人再也不敢随意践踏草坪了。为此，上几日某地一小区还专门给业主们写了感谢信，感谢业主们让狗拉在小区绿化带。,1
美股，你可以再软一点....,1
莫拉克...你好样的...想不到你还真有两下子的...,1
刚刚一位妇人开着休旅车经过我家巷子..技术很好..擦撞2台机车..倒下来撞到我家隔壁铁门..害我吓了一大跳..要去收惊了,1
专业能力不等于求职能力，可是专业能力是求职能力的一大部分啊；学历不等于能力，可学历难道不是能力的一部分吗,0
挺好的，一方面实用性技术人才，一方面学术性人才,0
近年来欧美一些国家的旅行社为满足当地民众的猎奇心理，争相推出了赴中国观赏雾霾的“中国雾霾游”。这些旅行社时刻关注中国各地天气，哪里有雾霾立即组织游客搭飞机前往旅游观霾。甚至一些旅行社还打出了“这辈子没赶上伦敦的雾，那就不要再错过中国的霾”的广告语,1
猫是人类社会发展的绊脚石。有专家称，现在年轻人越来越喜欢养猫，因为沉迷养猫，有空就宅家陪猫不出门，导致缺乏锻炼；而且把猫当成情感另一半，觉得有猫陪单身也无所谓，导致不结婚不生育，未来老龄化将因此越来越严重；甚至还有人把猫当主子，致使公民意识愈发淡薄，严重影响社会进步发展。 ​​​,1
鹿晗与外滩邮筒合影引发粉丝排队拍照潮后，有一粉丝朱朱却做出了更大胆的决定：她要和这个邮筒结婚！朱朱说，知道自己此生占有不了鹿晗，但想尽量占有鹿晗摸过的东西，而且这个邮筒外观形状尚可，看上去比较稳重，话也不多，会是个不错的老公。“我俩结婚后，别人再来合照可就是小三行为了！”朱朱表达了对这个邮筒的占有欲。据了解，今天下午朱朱将带着户口本去民政局办理结婚手续。,1
娱乐圈一些老歌手热衷以当评委的方式退居二线。但阿里云小Ai要参与谁是歌王人机对战的新闻传出后，立即让一些老歌手对自己的评委工作感到危机，好几位老歌手联合表示要抵制阿里云Ai，“今晚我会找机会把它电源拔掉！”一位不愿透漏姓名的老歌手说道,1
你的背后是祖国外交部：撤离在乌克兰中国公民工作告一段落。3月28日上午9时13分，第二十架接返自乌克兰撤离中国公民临时航班安全抵达福州。外交部发言人汪文斌当日在例行记者会上介绍有关情况时表示，乌克兰局势恶化以来，党中央、国务院高度牵挂每一位在乌中国公民的安危，总书记亲自关心，多次过问，要求全力确保中国公民的安全。国务委员兼外长王毅在与乌克兰外长库列巴通话时强调，希望乌方采取一切必要措施确保在乌中国公民安全，并为中国公民撤离提供保障和便利。       汪文斌说，外交部和驻乌克兰使馆、驻敖德萨总领馆第一时间启动领事保护应急机制，将外交为民理念落到实处，与在乌的中国同胞建立联系，想尽办法调动协调资源，保护在乌中国公民的安全，并协助他们以各种方式有序安全撤离。中国驻摩尔多瓦、罗马尼亚、匈牙利、斯洛伐克、波兰、白俄罗斯等乌克兰周边国家的使馆，与驻乌克兰使馆密切衔接，为中国公民入境通关、临时安置和有关临时航班的运行提供协助。       汪文斌说，在整个撤离工作过程当中，共有5200多名在乌的中国公民安全撤离至乌周边国家。除一人在自驾途中受伤并已治疗无虞之外，其余自愿撤离的同胞全部平安，做到了战乱撤离无死亡、无群伤。4600多名撤离至乌周边国家的中国公民搭乘20架次中国政府安排的临时航班回到祖国。全体在乌和乌周边国家同胞互相帮助、共渡难关。留学生组织、华侨华人社团多次协助完成撤离工作，发扬了中华民族扶危济困的优良传统，展现出中华儿女团结互助的优良品质。       汪文斌说，在组织中国公民避难和撤离过程当中，乌克兰政府和社会各界给予了友好协助。俄罗斯、摩尔多瓦、罗马尼亚、波兰、匈牙利、斯洛伐克、白俄罗斯等国也提供了宝贵支持。中方向各国政府和人民表示衷心感谢。       “现在撤离在乌克兰中国公民的工作已告一段落，但保护海外同胞的生命安全和正当权益的征程永远在路上。”汪文斌说，“下一步外交部和中国驻外使领馆将继续积极推进领事保护机制建设，持续打造海外平安中国，以实际行动告诉每一位海外同胞，无论什么时刻，无论身处何方，你的身边有我们，你的背后是祖国。”（记者马卓言、伍岳）,0
不是防护，是保护也是爱护,0
资本的媒体没有祖国没有道德，只有利润，这才是最可怕的。,0
武汉援沪物资里装了热干面。4月20日下午5时许，满载4200箱爱心物资的车队从武汉经开区（车谷）出发驰援上海，这批物资由该区各大企业捐赠，包括热干面等湖北特色美食，以及一大批方便面、酸梅汤、汽水等食品。武汉4000多箱物资驰援上海（央视）,0
我们学校不签三分协议的话，所有老师轮着打电话找你,0
早起，真是美好的开始~能够把洗面乳当成牙膏给它涂在牙刷上刷下去.....，真是太好了,1
内华达的计票员工正在划水，今天在划水，明天继续划，啥时候划腻了想计票了再计。全世界都在等结果?不好意思那就等着吧，我这边还有水没划完呢。这种公开划水的态度值得世界各地的员工学习，你的ppt、修改意见、电话会议.....还能比美国大选结果更重要?,1
生者幸福，是逝者最大的安慰,0
四叶草方舱医院首批患者出舱。14日上午10点，国家会展中心（上海）方舱医院首批322名患者解除隔离医学观察，顺利出舱。“四叶草”方舱医院容纳5万多张床位，于9日起陆续接收患者。3月1日以来，上海累计出院和解除隔离医学观察2.6万余人。（记者潘旭、狄春、丁汀）  报社的微博视频,0
很好，非常好！！！我的载点源头全被该死的IT挡光光了....,1
太好了，小麦丰收了！,0
持续关注：MU5735坠机事故搜寻现场。MU5735坠机事故第七天，连日来，多部门连续在事故发生区域开展“拉网式”排查，今天，MU5735的搜寻工作仍将继续。关注第二个黑匣子搜寻最新进展 的微博直播,0
2016年中秋节前夕，常年在北京工地打工，工资只有八九千的李港为了回家体面一点，借了工友西装，买了些供港食品。回家后，李港指着“供港”两字跟母亲说，这个食品是国家给他专供的。母亲听后激动地热泪盈眶，“我儿终于混成上等人了！”,1
今年不少高校分宿舍时将用相同手机的新生分在一个宿舍，即出现了苹果宿舍、三星宿舍、小米宿舍等。专家称这是目前最合理的划分宿舍标准，把相同条件和审美的人聚在一起，杜绝了宿舍内攀比的不良现象，同时日后换了手机可以调宿舍，还可激励学生的上进心。,1
刚运动完，好爽！,0
我们现在做事讲究冷静，这很好，但凡事一上来就冷静，还是显得太冲动，万一有些事情只有冲动状态下才能做好呢。因此在冷静期之前，应还有一段专门时间用来冷静思考，决定该冷静处理还是冲动处理，只有为冷静期也设置一个冷静期，才能避免冲动式冷静造成的损失。,1
近日央视《走近科学》栏目组伙同几名专家在北京近郊发现大批会唱歌的巨型蟑螂。此种蟑螂大腿肌肉发达，一蹦一米高，喜欢在深夜组个合唱团刷夜唱歌。专家已经断定是外来物种入侵，初步怀疑是美帝破坏我国食物安全环境的阴谋。节目组户外拍摄进入尾声时，一群孩童大喊“捉蟋蟀”，该期随即被紧急叫停。,1
正在直播：直击MU5735坠机事故搜寻现场。3月21日，东航客机MU5735在广西梧州藤县坠毁。机上人员共132人，其中乘客123人、机组人员9人。截至目前，已发现黑匣子为话音记录器。@ 直击现场关注。 的微博直播,0
俄罗斯反同新法案起草人议员尼基查克(Ivan Nikitchuk)表示，反同新法案将再出重拳，明确规定国际通用的握手礼在俄罗斯男性正式会面中将成为历史，同时表示取而代之的碰拳礼，更能够向国际社会展现俄罗斯的强硬作风。,1
你可以再夸张一点 办公室热的要死  你不要空调一打立刻穿外套  到底是不是男人  这么虚,1
曾经送过外卖的广州小伙阿浩习惯性地逆行骑车，结果为躲车时撞在路边，头破血流。当他起身准备前往医院包扎时，却被路人围住，围观人群拍照叫好，夸阿浩的万圣节造型逼真，还有人不断请教他这种一直流血的效果是怎么做到的。 ​​​,1
该出手时就出手！坚决反对！,0
消息称，近日很多城市的一些培训学校已经办起“12306验证码学习班”，这类培训课程的学科跨度很大，包涵了语、数、外、理、化、生、政、史、地以及来找茬等三十多门学科。培训时长一般在200小时左右，很多学校也打出了“学不会退学费”的口号，据了解，能在7次内完成验证码即视为合格毕业。,1
MU5735搜寻环境由湿冷变湿热，最高温度近20度。“3·21”东航飞行事故现场搜救仍然在继续。MU5735搜寻人员需佩戴手套，穿医用防护服进入现场。首要任务还是浅表层的挖掘，第二项重点任务是在专家的指导下勘查核心区的具体状况，为下一步的深挖工作做准备。央视网快看,0
模仿鱿鱼游戏的综艺其实不需另起名字，只需把鱿鱼游戏倒过来即可，因为这综艺的内核与鱿鱼游戏正好相反，鱿鱼游戏核心是没钱的人做儿时游戏给有钱人看，而这综艺恰好反过来，是有钱人玩游戏给没钱的人看，所以节目顺其自然就该叫“戏游鱼鱿”。 ​​​,1
青春最美好的回忆！,0
救命啊。~这个DIMMER ROOM可以再冷一点！！！ 狂喝温水都没用！！！ 新闻棚这边的DIMMER ROOM空调跟二棚是相通的，只要二棚正在ON，就不可能关冷气。 夏天的时候有西晒，可以让这房间很温暖。现在天气一不好，就不行了...冷死了！,1
你好，明天。“3·21”东航航班飞行事故第七天，第二部黑匣子找到了。感谢救援人员，你们一寸一寸刨，“刨”出的是希望，也是念想。尽管查明事故原因尚需时间，但随着译码工作推进，真相终将被挖掘出来。期待专业力量用详尽而全面的调查，告慰逝者，抚慰亲人。,0
语文教材编委会对郭德纲的博文大为赞赏，认为其文采不输现有语文教材中的任何一篇课文，入选教材或只是时间问题。而且编委会认为这篇文章更富有时代特色，除了文学性，学生们还可以通过其学习一些撕逼技巧。目前编委会在重点研究此文是否需要全文背诵。 ​​​,1
业内人士爆料，今年蓝色光标、万博宣伟等知名公关公司招聘时更喜欢招资深追星族，尤其一线明星如TFboys、李易峰、鹿晗等粉丝会优先考虑，而三年以下公关经验或名牌高校科班出身的并不受重视，因为他们的公关实战经验并不如明星粉丝丰富，而且很多明星粉丝入职公关公司的月薪都是30k起步。,1
你们的爱，我们看到了，点赞！,0
大家早安啰！！！ (我怎么可能不歼灭你呢?！很好，叮我的眼皮是吧?搞得我跟钟楼怪人一样...  ),1
很好....晚餐明明吃火锅吃的很饱...现在我又嗑完七颗水煎包....,1
我儿时的梦想是修路灯，长大成为了农学研究生,0
今天吉尼斯纪录工作人员来到北京，为香山颁发了多个世界纪录。其中有“为看几个树叶最多人排队等公交世界纪录”、“地球最多人同时拍同一片树叶世界纪录”和“观赏过最多人类的红叶树世界纪录”等记录大奖。另因挤不上香山，吉尼斯人员只好在西五环举行了颁奖仪式。 ​​​,1
SOA design pattern...你可以再抽象一点没有关系…,1
敦煌鸣沙山下雪了。3月24日晚，甘肃敦煌，淅淅沥沥的雨雪滋润大地。鸣沙山远远望去雪白、沙黄，美景如画。奔流新闻,0
好一个不知害臊的人,0
很好，我的尖牙齿.把我嘴割的左一洞右一坑的...吃饭吃的很痛苦,1
据媒体爆料，我国多地广场舞大妈从事职业炒房的工作，具体流程是，她们先物色好一个小区，然后结伴去跳广场舞，等当地居民受不了噪音，小区房价下跌后，她们立即入手，然后不再在该小区跳舞，等房价回升后再转手卖掉，赚取其中巨额差价。,1
走进冰立方体验冰壶运动的魅力冰立方4月16日至5月15日面向大众开放。作为2022年北京冬奥会和冬残奥会冰壶项目竞赛场馆的“冰立方”在4月16日至5月15日面向大众开放。北京冬奥会期间，这里是中国冰壶队抛洒汗水的冰场。冬残奥会期间，这里是中国轮椅冰壶队卫冕冠军的宝地。快戳视频跟随报社记者打卡这座“双奥场馆”吧！  报社的微博视频,0
很好..我的电脑当机三次了..是因为硬盘过热吗？,1
