index,text,sarcastic
18276,@Cold_Peace_ Some joint secretary,1
5776,@RenegadeSamZA タイムマシンについて教えてください。,1
1303,彼の選挙から10年以上後、オバマ前大統領の遺産と党が進むべき方向について民主党の間で議論が始まっている。,0
16756,@4tappKR Obviously rigged xd,1
19634,@ginnbassel@mariamjxde あなたは、米国(彼らのお父さん)に立ち上がった人が自動的に左翼であるというメモを得ませんでした。,1
14281,彼に会ったことがありますか?) https://t.co/GohardbM6u,0
2862,No Christmas Music After Thanksgiving     ,0
19531,"Good morning , 31 teams passed on Lamar Jackson",0
19058,@Tomore@marcushartmanは正午のヒントだったはずです。,1
178,A wrong impression is once again my specialty,1
449,消防员绳索悬垂救回坠河女子。近日，黑龙江哈尔滨一女子不慎失足落水，下半身被困在冰河。消防员赶赴，从大桥上利用绳索悬垂到冰面。女子已冻的四肢麻木有失温风险，消防员争分夺秒将其救出后通过绳索救回桥上。提示：天气回暖，请勿到冰面上玩耍逗留。中国消防,0
11629,"When I compare Dushyant Chautala to @ShivsenaComms, I realise how much more pragmatic he is. He chose the right ally even though there was no ore-poll alliance, quickly sealed the deal and became the Dy. CM with a decent kitty of portfolios. Compare that to @AUThackeray",1
404,Love it wen people try and stop my friends seeing me! Looooolll.,1
14877,"""I believe in myself and that I can accomplish my dream because just like this year's title slogan... #PlayingIsBelieving""

Loved chatting with @LazaTheGreek, one of 16 players who will battle to represent Greece at the #eEURO2020!

👉 https://t.co/6wQkoBbYyv https://t.co/aWILiNeJp9",1
18327,"Like Father Like Son

A Marine with 2nd Battalion, 3rd Marine Regiment, sights-in on a sniper rifle with his son during the unit’s Island Warrior Spouse and Family Day on Marine Corps Base Hawaii. https://t.co/tYama0Goes",1
5403,彼らが虐待する子供たちの名前を忘れるのは驚くべきことです https://t.co/jM2iTqjtmS,1
1891,外交部回应美国向台湾地区售武。据报道，美国国防安全合作局日前发布消息称，美国务院已批准向“驻美台北经文处”出售总额9500万美元军事技术及相关设备。对此，外交部发言人赵立坚4月6日在例行记者会上应询表示，美国向中国台湾地区出售武器，严重违反一个中国原则和中美三个联合公报，特别是“八·一七”公报规定，严重损害中国主权和安全利益，严重损害中美关系和台海和平稳定。中方对此坚决反对，予以强烈谴责。       “美方应恪守一个中国原则和中美三个联合公报规定，撤销上述对台军售计划，停止售台武器和美台军事联系。中方将继续采取坚决有力措施，坚决捍卫自身主权和安全利益。”赵立坚说。（记者董雪、温馨）,0
5068,Doctor ka bacha paida hota ha to ghareeb k tax ka paisa sath likhwa k laata ha.,1
10790,@IngrahamAnglePlusは、外国政府の個人的な利益のために賄を試みたが、あなたが指摘したように憲法にさえ含まれていない,1
20012,@allstasupasta 😂 Tjoo🙆🏽,0
19083,"[필릭스] #StrayKidsComeback
I'm doing fine and great! just wanted to let you guys know~~~ 
But has everyone seen the teaser for LEVANTER?!?!?!?!?!?!!!!!!!!!!!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?????!!!!!1111!1!1!1!1!1!1!1!!11!!!!!!!!!!! 😋",1
1278,Suffering from Train Lag....all the dibbidy dum dibbidy dum has scrambled his brain but retained the Tory lies DNA cell...,0
1124,马住。一条微博拯救你的颈肩腰腿。腰疼似针扎、脖子一转嘎巴响、膝盖比“天气预报”还准…你的颈肩腰腿还好吗？教你一套健身法，18个动作分3组，分别能缓解颈肩不适、腰部紧张、下肢紧张三种慢性劳损性问题。无论在家中还是办公室，随时随地都能做。18个动作缓解颈肩腰腿痛收藏。（生命时报）  [共18张],0
2157,The end of of S3E2 money heist makes me v happy,0
